T,TK,VOLMLD,DISPSW,LCB,TCB,VCB,LCF,WLA,TPC,KML,KMT
m,m,m3,t,m,m,m,m,m2,t/cm,m,m
0.5,0.513,920.2,973.8,38.35,0,0.248,38.35,1933,19.8,935.669,1173.433
1,1.013,1905.1,1985.9,38.35,0,0.504,38.35,2004.9,20.6,472.909,598.298
1.5,1.513,2910.4,3018.8,38.35,0,0.76,38.35,2018.2,20.7,313.053,396.773
2,2.013,3917,4052.9,38.35,0,1.012,38.35,2017.4,20.7,233.369,295.867
2.5,2.513,4923.3,5086.8,38.35,0,1.264,38.35,2017,20.7,186.283,236.142
3,3.013,5929.5,6120.4,38.35,0,1.515,38.35,2016.8,20.7,155.248,196.708
3.5,3.513,6935.6,7154.1,38.35,0,1.766,38.35,2016.9,20.7,133.298,168.762
4,4.013,7941.8,8187.8,38.35,0,2.016,38.35,2017.1,20.7,116.978,147.945
4.5,4.513,8948.1,9221.6,38.35,0,2.267,38.35,2017.4,20.7,104.387,131.857
4.6,4.613,9149.4,9428.4,38.35,0,2.317,38.35,2017.5,20.7,102.208,129.069
4.7,4.713,9350.7,9635.2,38.35,0,2.367,38.35,2017.6,20.7,100.125,126.404
4.8,4.813,9552,9842,38.35,0,2.417,38.35,2017.7,20.7,98.132,123.852
4.9,4.913,9753.3,10048.8,38.35,0,2.467,38.35,2017.8,20.7,96.223,121.408
5,5.013,9954.7,10255.7,38.35,0,2.517,38.35,2017.8,20.7,94.392,119.064
5.1,5.113,10156,10462.5,38.35,0,2.567,38.35,2017.9,20.7,92.636,116.814
5.2,5.213,10357.3,10669.3,38.35,0,2.617,38.35,2018,20.7,90.95,114.654
5.3,5.313,10558.7,10876.2,38.35,0,2.667,38.35,2018.1,20.7,89.33,112.578
5.4,5.413,10760,11083,38.35,0,2.717,38.35,2018.2,20.7,87.772,110.581
5.5,5.513,10961.4,11289.9,38.35,0,2.767,38.35,2018.2,20.7,86.273,108.658
5.6,5.613,11162.7,11496.8,38.35,0,2.817,38.35,2018.3,20.7,84.829,106.807
5.7,5.713,11364.1,11703.7,38.35,0,2.867,38.35,2018.4,20.7,83.437,105.023
